Company_Name,Date,Highest_Volatility,Average_Volatility,Lowest_Volatility
AMZN,4/10/2023,0.919998169,0.222207876,0.095001221
AMZN,4/11/2023,0.86000061,0.221386054,0.079406738
AMZN,4/12/2023,1.010002136,0.276849893,0.074996948
AMZN,4/13/2023,0.805000305,0.24329073,0.080001831
AMZN,4/14/2023,1.220001221,0.282877115,0.119895935
AMZN,4/17/2023,0.629997253,0.21331836,0.079994202
AMZN,4/18/2023,0.744995117,0.211084708,0.074996948
AMZN,4/19/2023,1.279899597,0.27918977,0.11000061
AMZN,4/20/2023,0.699996948,0.257286952,0.11000061
AMZN,5/19/2023,0,0,0
BABA,4/10/2023,1.620002747,0.25038861,0.053398132
BABA,4/11/2023,2.625,0.279577011,0.050003052
BABA,4/12/2023,1.239997864,0.320448362,0.095298767
BABA,4/13/2023,1.379898071,0.26929826,0.069999695
BABA,4/14/2023,0.761695862,0.203226921,0.040000916
BABA,4/17/2023,0.898002625,0.192721831,0.055000305
BABA,4/18/2023,1,0.189656184,0.059997559
BABA,4/19/2023,0.958503723,0.165445181,0.04800415
BABA,4/20/2023,0.68989563,0.225684239,0.050003052
BABA,5/19/2023,0,0,0
BBY,4/10/2023,0.530006409,0.138280917,0.040000916
BBY,4/11/2023,0.660003662,0.143959632,0.050003052
BBY,4/12/2023,0.694999695,0.15316166,0.040000916
BBY,4/13/2023,0.371604919,0.123801892,0.044998169
BBY,4/14/2023,0.790000916,0.15092703,0.029998779
BBY,4/17/2023,0.258995056,0.111258678,0.040000916
BBY,4/18/2023,0.289505005,0.111600044,0.025001526
BBY,4/19/2023,0.460006714,0.120785542,0.040000916
BBY,4/20/2023,0.720001221,0.132710873,0.029998779
BBY,5/19/2023,0,0,0
COST,4/10/2023,2.389984131,0.613956549,0.209991455
COST,4/11/2023,4.140014648,0.629277547,0.154998779
COST,4/12/2023,1.779998779,0.689153427,0.170898438
COST,4/13/2023,1.639892578,0.534817818,0.149993896
COST,4/14/2023,2.230010986,0.688600198,0.260009766
COST,4/17/2023,2.440002441,0.570785131,0.213409424
COST,4/18/2023,2.138122559,0.49914003,0.18447876
COST,4/19/2023,2.509979248,0.523291563,0.139984131
COST,4/20/2023,2.454986572,0.820135655,0.240020752
COST,5/19/2023,0,0,0
EBAY,4/10/2023,0.409999847,0.072357422,0.020000458
EBAY,4/11/2023,0.25,0.070264229,0.020000458
EBAY,4/12/2023,0.330001831,0.091388653,0.022003174
EBAY,4/13/2023,0.239997864,0.071217757,0.020000458
EBAY,4/14/2023,0.309997559,0.089151382,0.030002594
EBAY,4/17/2023,0.380001068,0.067672925,0.020000458
EBAY,4/18/2023,0.319999695,0.072815333,0.025001526
EBAY,4/19/2023,0.229999542,0.079601435,0.024997711
EBAY,4/20/2023,0.240001678,0.074094772,0.025001526
EBAY,5/19/2023,0,0,0
HD,4/10/2023,2.009979248,0.395428389,0.117706299
HD,4/11/2023,1.179992676,0.359222021,0.125
HD,4/12/2023,2.5,0.53897173,0.140014648
HD,4/13/2023,2.184906006,0.454175509,0.160003662
HD,4/14/2023,1.991577148,0.482466086,0.164978027
HD,4/17/2023,1.220001221,0.390725943,0.121612549
HD,4/18/2023,1.309997559,0.410628099,0.099975586
HD,4/19/2023,1.460021973,0.386007847,0.134979248
HD,4/20/2023,1.5,0.474849994,0.127471924
HD,5/19/2023,0,0,0
KR,4/10/2023,0.299999237,0.063856174,0.01499939
KR,4/11/2023,0.330001831,0.071211546,0.020000458
KR,4/12/2023,0.669998169,0.093915401,0.020000458
KR,4/13/2023,0.290000916,0.068318929,0.019996643
KR,4/14/2023,0.400100708,0.06377049,0.020000458
KR,4/17/2023,0.215000153,0.066102346,0.009998322
KR,4/18/2023,0.200000763,0.062300022,0.009998322
KR,4/19/2023,0.225002289,0.057217965,0.01499939
KR,4/20/2023,0.180000305,0.056357799,0.01499939
KR,5/19/2023,0,0,0
SHOP,4/10/2023,0.740001678,0.161441167,0.059898376
SHOP,4/11/2023,0.529998779,0.154317807,0.060001373
SHOP,4/12/2023,1.5,0.271258966,0.104999542
SHOP,4/13/2023,0.620002747,0.157904992,0.049999237
SHOP,4/14/2023,0.572402954,0.163397178,0.05499649
SHOP,4/17/2023,0.915000916,0.18310405,0.059997559
SHOP,4/18/2023,0.459999084,0.168600082,0.060001373
SHOP,4/19/2023,0.879898071,0.15105272,0.049999237
SHOP,4/20/2023,0.380001068,0.144905139,0.040100098
SHOP,5/19/2023,0,0,0
TGT,4/10/2023,0.705001831,0.317598979,0.11000061
TGT,4/11/2023,1.470001221,0.26233184,0.070007324
TGT,4/12/2023,0.994995117,0.331765004,0.080001831
TGT,4/13/2023,1.180007935,0.290395883,0.094985962
TGT,4/14/2023,0.919891357,0.301758204,0.11000061
TGT,4/17/2023,0.940002441,0.257032346,0.089996338
TGT,4/18/2023,0.740005493,0.248282604,0.069992065
TGT,4/19/2023,0.929992676,0.262364119,0.070007324
TGT,4/20/2023,0.705001831,0.2513416,0.080001831
TGT,5/19/2023,0,0,0
WMT,4/10/2023,0.732803345,0.171235891,0.064987183
WMT,4/11/2023,0.660003662,0.16251608,0.045700073
WMT,4/12/2023,0.529998779,0.158725249,0.049911499
WMT,4/13/2023,0.710006714,0.154329936,0.048309326
WMT,4/14/2023,0.829101563,0.160692851,0.059997559
WMT,4/17/2023,0.669998169,0.144602458,0.039993286
WMT,4/18/2023,0.759994507,0.158070687,0.058898926
WMT,4/19/2023,0.650009155,0.140119504,0.040008545
WMT,4/20/2023,0.309997559,0.13761804,0.039993286
WMT,5/19/2023,0,0,0
